"",temperature,humidite,force_moyenne_du_vecteur_de_vent,force_du_vecteur_de_vent_max,pluie_intensite_max,date,quartier,sismicite,concentration_gaz,pluie_totale,catastrophe
663,11.8,70.3,10.1,20.4,0.0,2170-01-15,4,0.36,105.13,327.39,0
664,11.8,70.3,10.1,20.4,0.0,2170-01-15,5,0.32,182.52,626.0,0
770,11.2,71.6,3.3,3.1,0.0,2170-01-16,1,0.66,172.98,713.42,3
771,11.2,71.6,3.3,3.1,0.0,2170-01-16,2,0.93,239.04,18.42,3
772,11.2,71.6,3.3,3.1,0.0,2170-01-16,3,0.74,273.88,443.24,3
773,11.2,71.6,3.3,3.1,0.0,2170-01-16,4,0.57,113.54,544.56,0
774,11.2,71.6,3.3,3.1,0.0,2170-01-16,5,0.46,122.23,267.31,0
875,8.8,66.4,4.0,5.2,0.0,2170-01-17,1,0.59,210.58,737.4,3
876,8.8,66.4,4.0,5.2,0.0,2170-01-17,2,0.65,176.52,594.84,0
877,8.8,66.4,4.0,5.2,0.0,2170-01-17,3,0.78,184.85,163.8,3
878,8.8,66.4,4.0,5.2,0.0,2170-01-17,4,0.61,168.61,172.79,0
879,8.8,66.4,4.0,5.2,0.0,2170-01-17,5,0.67,195.76,293.91,3
990,13.4,66.9,2.9,2.6,0.0,2170-01-18,1,0.74,241.64,32.3,2
991,13.4,66.9,2.9,2.6,0.0,2170-01-18,2,0.56,283.94,361.2,0
992,13.4,66.9,2.9,2.6,0.0,2170-01-18,3,0.75,284.2,624.58,2
993,13.4,66.9,2.9,2.6,0.0,2170-01-18,4,0.55,180.8,391.31,0
994,13.4,66.9,2.9,2.6,0.0,2170-01-18,5,0.47,132.58,98.62,0
1100,11.0,59.2,4.9,10.2,0.0,2170-01-19,1,0.76,262.78,774.11,3
1101,11.0,59.2,4.9,10.2,0.0,2170-01-19,2,0.66,184.78,628.99,0
1102,11.0,59.2,4.9,10.2,0.0,2170-01-19,3,0.78,194.72,31.0,3
1103,11.0,59.2,4.9,10.2,0.0,2170-01-19,4,0.53,189.79,949.09,0
1104,11.0,59.2,4.9,10.2,0.0,2170-01-19,5,0.35,117.05,244.93,0
1315,16.8,66.5,5.4,11.9,0.0,2170-01-20,1,0.8,221.82,738.81,3
1316,16.8,66.5,5.4,11.9,0.0,2170-01-20,2,0.69,237.71,998.4,3
1317,16.8,66.5,5.4,11.9,0.0,2170-01-20,3,0.88,253.75,362.97,2
1318,16.8,66.5,5.4,11.9,0.0,2170-01-20,4,0.59,112.24,349.29,3
1319,16.8,66.5,5.4,11.9,0.0,2170-01-20,5,0.38,153.93,193.86,3
1425,20.4,73.1,3.9,9.7,0.0,2170-01-21,1,0.79,244.92,288.74,2
1426,20.4,73.1,3.9,9.7,0.0,2170-01-21,2,0.53,282.51,690.48,0
1427,20.4,73.1,3.9,9.7,0.0,2170-01-21,3,0.88,174.83,780.3,3
1428,20.4,73.1,3.9,9.7,0.0,2170-01-21,4,0.56,183.16,87.36,0
1429,20.4,73.1,3.9,9.7,0.0,2170-01-21,5,0.47,109.03,8.05,0
1535,13.5,72.4,12.3,22.3,0.1,2170-01-22,1,0.65,265.42,181.89,2
1536,13.5,72.4,12.3,22.3,0.1,2170-01-22,2,0.9,188.24,327.66,0
1537,13.5,72.4,12.3,22.3,0.1,2170-01-22,3,0.66,207.91,478.4,3
1538,13.5,72.4,12.3,22.3,0.1,2170-01-22,4,0.31,131.85,525.26,0
1539,13.5,72.4,12.3,22.3,0.1,2170-01-22,5,0.48,138.72,360.68,3
1645,11.1,71.5,4.6,7.7,0.2,2170-01-23,1,0.56,202.1,246.45,3
1646,11.1,71.5,4.6,7.7,0.2,2170-01-23,2,0.75,282.23,533.89,1
1647,11.1,71.5,4.6,7.7,0.2,2170-01-23,3,0.85,153.94,512.73,3
1648,11.1,71.5,4.6,7.7,0.2,2170-01-23,4,0.63,156.02,494.22,0
1649,11.1,71.5,4.6,7.7,0.2,2170-01-23,5,0.6,144.88,605.68,0
1760,12.4,73.4,12.1,18.8,0.1,2170-01-24,1,0.61,153.09,163.99,3
1761,12.4,73.4,12.1,18.8,0.1,2170-01-24,2,0.81,220.68,897.45,1
1762,12.4,73.4,12.1,18.8,0.1,2170-01-24,3,0.56,256.43,260.19,3
1763,12.4,73.4,12.1,18.8,0.1,2170-01-24,4,0.65,198.68,719.56,0
1764,12.4,73.4,12.1,18.8,0.1,2170-01-24,5,0.69,191.08,306.34,0
1875,11.6,78.5,5.3,7.6,0.1,2170-01-25,1,0.78,184.29,624.8,3
1876,11.6,78.5,5.3,7.6,0.1,2170-01-25,2,0.67,173.6,897.11,0
1877,11.6,78.5,5.3,7.6,0.1,2170-01-25,3,0.77,186.99,570.98,3
1878,11.6,78.5,5.3,7.6,0.1,2170-01-25,4,0.42,135.15,57.73,3
1879,11.6,78.5,5.3,7.6,0.1,2170-01-25,5,0.36,199.78,150.76,0
1990,10.5,51.8,4.1,6.9,0.0,2170-01-26,1,0.61,251.54,669.74,3
1991,10.5,51.8,4.1,6.9,0.0,2170-01-26,2,0.79,215.66,260.99,1
1992,10.5,51.8,4.1,6.9,0.0,2170-01-26,3,0.74,225.13,599.43,2
1993,10.5,51.8,4.1,6.9,0.0,2170-01-26,4,0.32,121.46,564.09,0
1994,10.5,51.8,4.1,6.9,0.0,2170-01-26,5,0.59,106.37,485.61,0
2105,18.4,84.7,7.6,10.3,0.1,2170-01-27,1,0.96,292.57,748.81,3
2106,18.4,84.7,7.6,10.3,0.1,2170-01-27,2,0.51,294.59,744.18,0
2107,18.4,84.7,7.6,10.3,0.1,2170-01-27,3,0.99,231.41,613.57,2
2108,18.4,84.7,7.6,10.3,0.1,2170-01-27,4,0.38,177.67,420.55,3
2109,18.4,84.7,7.6,10.3,0.1,2170-01-27,5,0.34,159.56,38.86,0
2220,15.2,72.1,3.6,4.1,0.0,2170-01-28,1,0.98,168.77,691.89,3
2221,15.2,72.1,3.6,4.1,0.0,2170-01-28,2,0.79,168.24,91.68,0
2222,15.2,72.1,3.6,4.1,0.0,2170-01-28,3,0.8,194.29,232.67,3
2223,15.2,72.1,3.6,4.1,0.0,2170-01-28,4,0.69,129.18,459.26,0
2224,15.2,72.1,3.6,4.1,0.0,2170-01-28,5,0.61,100.78,292.78,3
2330,22.0,62.7,8.8,13.7,0.0,2170-01-29,1,0.89,188.7,505.87,3
2331,22.0,62.7,8.8,13.7,0.0,2170-01-29,2,0.5,201.11,653.67,0
2332,22.0,62.7,8.8,13.7,0.0,2170-01-29,3,0.65,224.07,388.71,2
2333,22.0,62.7,8.8,13.7,0.0,2170-01-29,4,0.57,120.71,207.17,0
2334,22.0,62.7,8.8,13.7,0.0,2170-01-29,5,0.59,159.12,552.23,3
2550,16.2,63.5,12.5,21.6,0.0,2170-01-30,1,0.93,236.83,778.21,3
2551,16.2,63.5,12.5,21.6,0.0,2170-01-30,2,0.78,197.99,813.86,0
2552,16.2,63.5,12.5,21.6,0.0,2170-01-30,3,0.53,231.33,121.93,3
2553,16.2,63.5,12.5,21.6,0.0,2170-01-30,4,0.44,155.54,556.38,0
2554,16.2,63.5,12.5,21.6,0.0,2170-01-30,5,0.54,162.61,634.05,3
2650,18.0,73.8,11.3,21.1,0.1,2170-01-31,1,0.75,247.74,85.81,2
2651,18.0,73.8,11.3,21.1,0.1,2170-01-31,2,0.5,282.75,535.22,0
2652,18.0,73.8,11.3,21.1,0.1,2170-01-31,3,0.79,196.21,712.47,3
2653,18.0,73.8,11.3,21.1,0.1,2170-01-31,4,0.59,113.45,572.48,0
2654,18.0,73.8,11.3,21.1,0.1,2170-01-31,5,0.45,117.75,638.45,3
40,21.0,61.1,17.0,28.6,0.1,2170-02-01,1,0.86,278.75,74.58,3
41,21.0,61.1,17.0,28.6,0.1,2170-02-01,2,0.78,273.85,650.6,1
42,21.0,61.1,17.0,28.6,0.1,2170-02-01,3,0.76,156.4,34.32,3
43,21.0,61.1,17.0,28.6,0.1,2170-02-01,4,0.41,151.16,498.3,0
44,21.0,61.1,17.0,28.6,0.1,2170-02-01,5,0.57,169.22,561.59,0
2475,16.3,71.6,4.3,7.0,0.0,2170-02-03,1,0.88,236.48,783.42,2
2476,16.3,71.6,4.3,7.0,0.0,2170-02-03,2,0.9,288.09,311.7,1
2477,16.3,71.6,4.3,7.0,0.0,2170-02-03,3,0.64,165.83,303.36,3
2478,16.3,71.6,4.3,7.0,0.0,2170-02-03,4,0.32,173.89,866.67,3
2479,16.3,71.6,4.3,7.0,0.0,2170-02-03,5,0.55,157.33,983.51,0
2755,20.2,66.8,6.6,14.1,0.0,2170-02-04,1,0.64,296.43,126.85,3
2756,20.2,66.8,6.6,14.1,0.0,2170-02-04,2,0.83,268.13,481.77,3
2757,20.2,66.8,6.6,14.1,0.0,2170-02-04,3,0.94,299.45,646.93,2
2758,20.2,66.8,6.6,14.1,0.0,2170-02-04,4,0.32,134.4,894.38,0
2759,20.2,66.8,6.6,14.1,0.0,2170-02-04,5,0.59,130.5,201.94,3
2865,22.2,72.2,4.6,16.1,0.0,2170-02-05,1,0.93,157.7,519.94,3
2866,22.2,72.2,4.6,16.1,0.0,2170-02-05,2,0.59,276.66,876.34,0
2867,22.2,72.2,4.6,16.1,0.0,2170-02-05,3,0.77,250.92,409.91,3
2868,22.2,72.2,4.6,16.1,0.0,2170-02-05,4,0.39,195.16,61.45,3
2869,22.2,72.2,4.6,16.1,0.0,2170-02-05,5,0.5,153.33,4.52,0
2975,21.4,74.0,11.9,25.5,0.0,2170-02-06,1,0.81,228.11,507.42,3
2976,21.4,74.0,11.9,25.5,0.0,2170-02-06,2,0.99,170.44,86.02,0
2977,21.4,74.0,11.9,25.5,0.0,2170-02-06,3,0.69,160.6,166.59,3
2978,21.4,74.0,11.9,25.5,0.0,2170-02-06,4,0.51,198.72,194.98,0
2979,21.4,74.0,11.9,25.5,0.0,2170-02-06,5,0.55,188.23,18.85,0
3090,16.8,69.5,11.3,18.0,0.0,2170-02-07,1,0.89,214.38,765.62,2
3091,16.8,69.5,11.3,18.0,0.0,2170-02-07,2,0.59,231.94,281.28,0
3092,16.8,69.5,11.3,18.0,0.0,2170-02-07,3,0.59,154.45,464.32,3
3093,16.8,69.5,11.3,18.0,0.0,2170-02-07,4,0.36,115.8,91.57,0
3094,16.8,69.5,11.3,18.0,0.0,2170-02-07,5,0.56,132.54,757.86,0
3205,12.2,67.1,5.5,8.3,0.0,2170-02-08,1,0.66,276.84,766.73,3
3206,12.2,67.1,5.5,8.3,0.0,2170-02-08,2,0.94,202.19,901.54,3
3207,12.2,67.1,5.5,8.3,0.0,2170-02-08,3,0.84,283.2,744.67,2
3208,12.2,67.1,5.5,8.3,0.0,2170-02-08,4,0.63,192.2,387.36,0
3209,12.2,67.1,5.5,8.3,0.0,2170-02-08,5,0.49,122.3,767.99,3
3320,14.5,75.8,6.3,11.7,0.0,2170-02-09,1,0.57,173.04,202.06,3
3321,14.5,75.8,6.3,11.7,0.0,2170-02-09,2,0.72,265.04,790.9,0
3322,14.5,75.8,6.3,11.7,0.0,2170-02-09,3,0.55,207.17,400.76,3
3323,14.5,75.8,6.3,11.7,0.0,2170-02-09,4,0.32,161.18,986.29,0
3324,14.5,75.8,6.3,11.7,0.0,2170-02-09,5,0.49,111.11,896.4,0
155,12.8,66.3,11.0,16.9,0.0,2170-02-10,1,0.83,150.79,781.18,3
156,12.8,66.3,11.0,16.9,0.0,2170-02-10,2,0.81,183.65,219.02,0
157,12.8,66.3,11.0,16.9,0.0,2170-02-10,3,0.53,254.49,591.5,3
158,12.8,66.3,11.0,16.9,0.0,2170-02-10,4,0.58,171.6,659.51,0
159,12.8,66.3,11.0,16.9,0.0,2170-02-10,5,0.57,148.96,503.43,3
370,16.0,64.3,13.3,24.9,0.0,2170-02-12,1,0.89,199.44,249.99,3
371,16.0,64.3,13.3,24.9,0.0,2170-02-12,2,0.56,235.8,325.43,3
372,16.0,64.3,13.3,24.9,0.0,2170-02-12,3,0.73,205.27,740.26,2
373,16.0,64.3,13.3,24.9,0.0,2170-02-12,4,0.58,168.33,104.73,0
374,16.0,64.3,13.3,24.9,0.0,2170-02-12,5,0.56,115.9,233.73,3
480,14.9,79.5,4.9,6.8,0.0,2170-02-13,1,0.65,157.58,677.67,3
481,14.9,79.5,4.9,6.8,0.0,2170-02-13,2,0.85,221.84,56.65,3
482,14.9,79.5,4.9,6.8,0.0,2170-02-13,3,0.56,158.18,346.93,3
483,14.9,79.5,4.9,6.8,0.0,2170-02-13,4,0.46,102.53,558.45,3
484,14.9,79.5,4.9,6.8,0.0,2170-02-13,5,0.45,115.25,201.13,3
590,0.6,44.5,9.8,23.9,0.0,2170-02-14,1,0.95,224.13,587.27,2
591,0.6,44.5,9.8,23.9,0.0,2170-02-14,2,0.98,152.52,418.95,0
592,0.6,44.5,9.8,23.9,0.0,2170-02-14,3,0.78,200.24,483.71,2
593,0.6,44.5,9.8,23.9,0.0,2170-02-14,4,0.36,186.01,375.18,0
594,0.6,44.5,9.8,23.9,0.0,2170-02-14,5,0.55,174.04,318.93,3
700,17.6,64.7,7.0,23.7,0.0,2170-02-15,1,0.69,180.22,192.32,3
701,17.6,64.7,7.0,23.7,0.0,2170-02-15,2,0.59,299.32,2.67,0
702,17.6,64.7,7.0,23.7,0.0,2170-02-15,3,0.92,215.25,31.17,3
703,17.6,64.7,7.0,23.7,0.0,2170-02-15,4,0.55,137.68,612.57,0
704,17.6,64.7,7.0,23.7,0.0,2170-02-15,5,0.49,133.17,789.6,0
805,18.1,71.2,6.1,16.4,0.0,2170-02-16,1,0.83,170.75,51.81,3
806,18.1,71.2,6.1,16.4,0.0,2170-02-16,2,0.54,269.04,539.79,0
807,18.1,71.2,6.1,16.4,0.0,2170-02-16,3,0.75,241.32,567.66,3
808,18.1,71.2,6.1,16.4,0.0,2170-02-16,4,0.51,102.11,412.59,3
809,18.1,71.2,6.1,16.4,0.0,2170-02-16,5,0.47,132.96,701.51,0
915,15.2,57.6,5.5,8.5,0.0,2170-02-17,1,0.89,208.07,113.61,2
916,15.2,57.6,5.5,8.5,0.0,2170-02-17,2,0.75,261.22,387.85,2
917,15.2,57.6,5.5,8.5,0.0,2170-02-17,3,0.95,251.71,16.94,2
918,15.2,57.6,5.5,8.5,0.0,2170-02-17,4,0.39,160.63,105.9,3
919,15.2,57.6,5.5,8.5,0.0,2170-02-17,5,0.54,100.92,815.15,3
1025,14.9,61.1,7.1,21.4,0.0,2170-02-18,1,0.77,214.89,525.19,2
1026,14.9,61.1,7.1,21.4,0.0,2170-02-18,2,0.76,173.35,66.86,0
1027,14.9,61.1,7.1,21.4,0.0,2170-02-18,3,0.75,152.62,339.05,3
1028,14.9,61.1,7.1,21.4,0.0,2170-02-18,4,0.43,128.52,814.78,0
1029,14.9,61.1,7.1,21.4,0.0,2170-02-18,5,0.46,143.86,245.91,3
1135,16.9,70.0,6.2,23.2,0.0,2170-02-19,1,0.93,237.79,42.23,2
1136,16.9,70.0,6.2,23.2,0.0,2170-02-19,2,0.82,186.09,147.55,0
1137,16.9,70.0,6.2,23.2,0.0,2170-02-19,3,0.62,184.49,137.55,3
1138,16.9,70.0,6.2,23.2,0.0,2170-02-19,4,0.59,187.85,717.15,0
1139,16.9,70.0,6.2,23.2,0.0,2170-02-19,5,0.35,112.91,850.67,0
1350,22.3,63.2,12.8,34.2,0.0,2170-02-20,1,0.89,255.75,704.95,3
1351,22.3,63.2,12.8,34.2,0.0,2170-02-20,2,0.93,199.6,865.58,0
1352,22.3,63.2,12.8,34.2,0.0,2170-02-20,3,0.81,164.13,477.79,3
1353,22.3,63.2,12.8,34.2,0.0,2170-02-20,4,0.51,194.96,802.39,0
1354,22.3,63.2,12.8,34.2,0.0,2170-02-20,5,0.43,111.49,694.86,3
1465,18.9,64.4,32.3,57.6,0.0,2170-02-21,1,0.65,268.38,66.21,2
1466,18.9,64.4,32.3,57.6,0.0,2170-02-21,2,0.65,171.22,896.77,0
1467,18.9,64.4,32.3,57.6,0.0,2170-02-21,3,0.56,183.83,502.92,3
1468,18.9,64.4,32.3,57.6,0.0,2170-02-21,4,0.3,131.98,357.31,0
1469,18.9,64.4,32.3,57.6,0.0,2170-02-21,5,0.46,181.73,455.83,3
1575,18.7,70.4,14.6,26.3,0.1,2170-02-22,1,1.0,218.42,301.28,2
1576,18.7,70.4,14.6,26.3,0.1,2170-02-22,2,0.6,173.27,384.47,3
1577,18.7,70.4,14.6,26.3,0.1,2170-02-22,3,0.55,206.51,51.53,3
1578,18.7,70.4,14.6,26.3,0.1,2170-02-22,4,0.56,115.42,702.31,0
1579,18.7,70.4,14.6,26.3,0.1,2170-02-22,5,0.49,133.44,286.92,0
1685,22.8,76.3,5.8,14.6,0.0,2170-02-23,1,0.55,267.3,133.25,3
1686,22.8,76.3,5.8,14.6,0.0,2170-02-23,2,0.57,255.79,613.38,0
1687,22.8,76.3,5.8,14.6,0.0,2170-02-23,3,0.65,247.91,91.67,3
1688,22.8,76.3,5.8,14.6,0.0,2170-02-23,4,0.55,169.27,397.31,0
1689,22.8,76.3,5.8,14.6,0.0,2170-02-23,5,0.44,196.46,975.01,0
1800,20.7,63.8,8.0,21.9,0.0,2170-02-24,1,0.99,186.36,141.34,3
1801,20.7,63.8,8.0,21.9,0.0,2170-02-24,2,0.67,180.02,316.31,0
1802,20.7,63.8,8.0,21.9,0.0,2170-02-24,3,0.87,185.02,780.31,3
1803,20.7,63.8,8.0,21.9,0.0,2170-02-24,4,0.66,127.07,883.96,3
1804,20.7,63.8,8.0,21.9,0.0,2170-02-24,5,0.63,177.05,556.95,0
1915,15.7,65.6,5.0,10.5,0.0,2170-02-25,1,0.83,275.64,540.49,2
1916,15.7,65.6,5.0,10.5,0.0,2170-02-25,2,0.55,255.36,307.28,0
1917,15.7,65.6,5.0,10.5,0.0,2170-02-25,3,0.81,242.54,732.3,2
1918,15.7,65.6,5.0,10.5,0.0,2170-02-25,4,0.58,107.87,23.11,0
1919,15.7,65.6,5.0,10.5,0.0,2170-02-25,5,0.63,194.66,221.03,0
2030,15.1,67.6,4.7,8.1,0.0,2170-02-26,1,0.63,212.13,80.49,3
2031,15.1,67.6,4.7,8.1,0.0,2170-02-26,2,0.79,286.29,914.53,3
2032,15.1,67.6,4.7,8.1,0.0,2170-02-26,3,0.55,192.4,469.83,3
2033,15.1,67.6,4.7,8.1,0.0,2170-02-26,4,0.67,158.97,407.98,0
2034,15.1,67.6,4.7,8.1,0.0,2170-02-26,5,0.47,106.23,775.85,0
2145,15.4,63.4,5.0,9.7,0.0,2170-02-27,1,0.81,200.0,382.77,3
2146,15.4,63.4,5.0,9.7,0.0,2170-02-27,2,0.75,252.83,508.24,1
2147,15.4,63.4,5.0,9.7,0.0,2170-02-27,3,0.82,161.27,685.27,3
2148,15.4,63.4,5.0,9.7,0.0,2170-02-27,4,0.62,176.96,969.35,0
2149,15.4,63.4,5.0,9.7,0.0,2170-02-27,5,0.44,148.54,60.44,3
2255,-1.7,34.2,9.5,18.6,0.0,2170-02-28,1,0.57,218.54,24.19,3
2256,-1.7,34.2,9.5,18.6,0.0,2170-02-28,2,0.93,250.87,970.21,2
2257,-1.7,34.2,9.5,18.6,0.0,2170-02-28,3,0.77,243.38,703.01,2
2258,-1.7,34.2,9.5,18.6,0.0,2170-02-28,4,0.65,153.88,786.03,3
2259,-1.7,34.2,9.5,18.6,0.0,2170-02-28,5,0.66,113.01,320.43,0
50,20.1,63.9,13.9,30.0,0.0,2170-03-01,1,0.91,297.92,526.23,2
51,20.1,63.9,13.9,30.0,0.0,2170-03-01,2,0.67,278.41,378.13,3
52,20.1,63.9,13.9,30.0,0.0,2170-03-01,3,0.84,238.09,373.95,2
53,20.1,63.9,13.9,30.0,0.0,2170-03-01,4,0.62,128.98,289.43,0
54,20.1,63.9,13.9,30.0,0.0,2170-03-01,5,0.68,136.43,513.82,0
1250,20.3,59.8,10.3,25.9,0.0,2170-03-02,1,0.84,175.89,285.86,3
1251,20.3,59.8,10.3,25.9,0.0,2170-03-02,2,0.84,151.22,262.09,0
1252,20.3,59.8,10.3,25.9,0.0,2170-03-02,3,0.55,196.74,586.54,3
1253,20.3,59.8,10.3,25.9,0.0,2170-03-02,4,0.54,169.71,644.47,0
1254,20.3,59.8,10.3,25.9,0.0,2170-03-02,5,0.58,160.01,979.29,0
2485,20.0,58.5,5.7,12.0,0.0,2170-03-03,1,0.86,202.58,365.37,2
2486,20.0,58.5,5.7,12.0,0.0,2170-03-03,2,0.79,295.0,442.08,1
2487,20.0,58.5,5.7,12.0,0.0,2170-03-03,3,0.51,196.18,643.73,3
2488,20.0,58.5,5.7,12.0,0.0,2170-03-03,4,0.6,114.99,920.48,0
2489,20.0,58.5,5.7,12.0,0.0,2170-03-03,5,0.37,114.33,317.72,0
2765,17.7,68.2,4.7,10.8,0.0,2170-03-04,1,0.5,263.54,273.91,3
2766,17.7,68.2,4.7,10.8,0.0,2170-03-04,2,0.68,255.93,678.05,1
